Number 	Class 	Size 	NVar    	Coverage 	Significance 	Unusualness 	Accuracy 	Support  	CSupport  	FSupport 	FConfidence 	CConfidence
000   	000	-	2.000000	0.400000	0.008729	0.000960	0.920635	0.598958	0.369600	0.368800	0.922000	0.924000
001   	000	-	4.000000	0.064000	2.836602	0.005018	0.976190	0.145833	0.064000	0.071200	0.936842	1.000000
002   	000	-	2.000000	0.400000	0.008729	0.000960	0.920635	0.598958	0.369600	0.368800	0.922000	0.924000
003   	000	-	2.000000	0.200000	0.031571	0.001280	0.921260	0.401042	0.185600	0.277600	0.925333	0.928000
004   	000	-	3.000000	0.160000	0.220077	0.002944	0.931373	0.361111	0.150400	0.185600	0.928000	0.940000
005   	000	-	3.000000	0.160000	0.550955	0.004544	0.941176	0.239583	0.152000	0.129600	0.925714	0.950000
006   	000	-	3.000000	0.080000	0.532941	0.003072	0.942308	0.241319	0.076800	0.130400	0.931429	0.960000
007   	000	-	3.000000	0.160000	0.220077	0.002944	0.931373	0.361111	0.150400	0.185600	0.928000	0.940000
008   	000	-	3.000000	0.080000	0.532941	0.003072	0.942308	0.241319	0.076800	0.130400	0.931429	0.960000
009   	000	-	3.000000	0.160000	0.550955	0.004544	0.941176	0.239583	0.152000	0.129600	0.925714	0.950000
010   	000	-	2.000000	0.400000	0.008729	0.000960	0.920635	0.598958	0.369600	0.368800	0.922000	0.924000
011   	000	-	2.000000	0.400000	0.008729	0.000960	0.920635	0.598958	0.369600	0.368800	0.922000	0.924000
012   	000	-	2.000000	0.200000	0.031571	0.001280	0.921260	0.401042	0.185600	0.277600	0.925333	0.928000
013   	000	-	3.000000	0.160000	0.550955	0.004544	0.941176	0.239583	0.152000	0.129600	0.925714	0.950000
014   	000	-	3.000000	0.160000	0.550955	0.004544	0.941176	0.239583	0.152000	0.129600	0.925714	0.950000
-    	- 	015	2.666667	0.212267	0.442968	0.002775	0.934221	0.367130	0.873600	0.216800	0.926482	0.943467
